name,address,biz_type,description,website,phone
Amazon DIL3,3507 West 51st Street,warehouse,,,
Archer Manufacturing Co,"4439 S Knox Ave, Chicago, IL 60632",manufacturing,Plastic fabrication and metal stamping. Founded 1948.,,
Bagcraft Packaging (Novolex),"3900 W 43rd St, Chicago, IL 60632",packaging_manufacturing,"Largest converter of paper-based flexible foodservice packaging in North America. ~1,200 employees, $279M+ revenue. Part of Novolex. Founded 1947.",,
C.J. Vitner Co (Utz Brands),"4202 W 45th St, Chicago, IL 60632",food_manufacturing,"Iconic Chicago snack brand. Potato chips, popcorn, pretzels. Founded 1926. Acquired by Utz Brands for $25M. Distribution hub.",,
Central Can Company,"4400 W 35th Pl, Chicago, IL 60632",manufacturing,Metal can production for industrial packaging.,,
Central Steel & Wire Co.,3000-3032 West 51st Street,industrial,,,
Chicago American Manufacturing,"4500 W 47th St, Chicago, IL 60632",manufacturing,"Custom metal solutions: store fixtures, carts, safes, electrical enclosures. Founded 1947.",,
Chicago Metal Fabricators,"3724 S Rockwell St, Chicago, IL 60632",manufacturing,ISO 9001:2015 certified custom metal fabricator. 200K+ sq ft. Founded 1908.,,
Chicago Metal Rolled Products,"3715 S Rockwell St, Chicago, IL 60632",manufacturing,Tube/pipe/bar/beam bending and plate rolling. National HQ. Founded 1908.,,
Chicago Ornamental Iron,"4340 W 47th St, Chicago, IL 60632",manufacturing,Full-service metal and glass fabricator and erector.,,
HPI North America,"4501 W 47th St, Chicago, IL 60632",manufacturing,Plastic products manufacturing.,,
Isola Imports,"4525 S Tripp Ave, Chicago, IL 60632",import_warehouse,"Import company. 52,600 SF industrial building, 6 loading docks, climate control. Built 1972.",,
K and K Abrasives and Supplies,"5161 S Millard Ave, Chicago, IL 60632",industrial_supply,Abrasive solutions for metal polishing.,,
Lineage Cold Storage,"4500 W Ann Lurie Pl, Chicago, IL 60632",cold_storage_warehouse,Automated cold-chain warehouse. Food processing and manufacturing. Rail-served.,,
Midway Business Center,,industrial,,,
Reliable Ogden,3741 South Pulaski Road,industrial,,https://reliableogden.com,
Sterling Bay Industrial,"4510 W Ann Lurie Pl, Chicago, IL 60632",industrial_property,"$25M, 147,500 SF Class-A spec industrial warehouse. 7.6 acres. 20 loading bays. Tax incentive approved 2023.",,
The Rock Spot Studios,"4500 S Tripp Ave, Chicago, IL 60632",recording_studio,"Recording and rehearsal studios in 92,859 SF Class industrial building. Built 1945.",,
World's Finest Chocolate,4801 South Lawndale Avenue,industrial,,,
